song_name,album_cn,album_en,track_number,release_date,composer,lyricist,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,loudness,key,duration_ms,popularity,mode,play_count_est,tags,has_lyrics,album_cover_url
可爱女人,杰伦,Jay,1,2000-11-01,周杰伦,徐若瑄,0.72,0.65,0.55,94,0.35,0.001,0.04,-6.5,1,250000,68,1,125120000,R&B,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
完美主义,杰伦,Jay,2,2000-11-01,周杰伦,方文山,0.58,0.6,0.4,82,0.45,0.002,0.05,-7.2,3,285000,55,1,97625000,R&B,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
星晴,杰伦,Jay,3,2000-11-01,周杰伦,周杰伦,0.55,0.55,0.6,84,0.5,0.001,0.03,-7.8,0,263000,72,1,133920000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
娘子,杰伦,Jay,4,2000-11-01,周杰伦,方文山,0.75,0.7,0.5,96,0.3,0.01,0.08,-6.0,7,287000,60,1,108000000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
斗牛,杰伦,Jay,5,2000-11-01,周杰伦,方文山,0.68,0.75,0.55,95,0.2,0.005,0.12,-5.5,5,275000,58,1,103820000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
黑色幽默,杰伦,Jay,6,2000-11-01,周杰伦,周杰伦,0.42,0.5,0.25,72,0.65,0.002,0.03,-8.5,2,285000,70,0,129500000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
伊斯坦堡,杰伦,Jay,7,2000-11-01,周杰伦,徐若瑄,0.6,0.55,0.5,80,0.55,0.001,0.04,-7.5,9,260000,50,1,87500000,R&B,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
印地安老斑鸠,杰伦,Jay,8,2000-11-01,周杰伦,方文山,0.7,0.65,0.45,90,0.25,0.02,0.15,-6.2,6,285000,48,1,83520000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
龙卷风,杰伦,Jay,9,2000-11-01,周杰伦,徐若瑄,0.55,0.62,0.3,80,0.5,0.001,0.04,-7.0,4,285000,78,1,147420000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
反方向的钟,杰伦,Jay,10,2000-11-01,周杰伦,方文山,0.48,0.45,0.35,78,0.6,0.005,0.03,-8.2,1,285000,52,0,91520000,其他,yes,https://upload.wikimedia.org/wikipedia/en/1/1c/Jay_Chou_-_Jay_album_cover.jpg
