song_name,album_cn,album_en,track_number,release_date,composer,lyricist
可爱女人,杰伦,Jay,1,2000-11-01,周杰伦,徐若瑄
完美主义,杰伦,Jay,2,2000-11-01,周杰伦,方文山
星晴,杰伦,Jay,3,2000-11-01,周杰伦,周杰伦
娘子,杰伦,Jay,4,2000-11-01,周杰伦,方文山
斗牛,杰伦,Jay,5,2000-11-01,周杰伦,方文山
黑色幽默,杰伦,Jay,6,2000-11-01,周杰伦,周杰伦
伊斯坦堡,杰伦,Jay,7,2000-11-01,周杰伦,徐若瑄
印地安老斑鸠,杰伦,Jay,8,2000-11-01,周杰伦,方文山
龙卷风,杰伦,Jay,9,2000-11-01,周杰伦,徐若瑄
反方向的钟,杰伦,Jay,10,2000-11-01,周杰伦,方文山
爱在西元前,范特西,Fantasy,1,2001-09-01,周杰伦,方文山
爸我回来了,范特西,Fantasy,2,2001-09-01,周杰伦,周杰伦
简单爱,范特西,Fantasy,3,2001-09-01,周杰伦,徐若瑄
忍者,范特西,Fantasy,4,2001-09-01,周杰伦,方文山
开不了口,范特西,Fantasy,5,2001-09-01,周杰伦,徐若瑄
上海一九四三,范特西,Fantasy,6,2001-09-01,周杰伦,方文山
对不起,范特西,Fantasy,7,2001-09-01,周杰伦,方文山
威廉古堡,范特西,Fantasy,8,2001-09-01,周杰伦,方文山
双截棍,范特西,Fantasy,9,2001-09-01,周杰伦,方文山
安静,范特西,Fantasy,10,2001-09-01,周杰伦,周杰伦
半兽人,八度空间,The Eight Dimensions,1,2002-07-01,周杰伦,方文山
半岛铁盒,八度空间,The Eight Dimensions,2,2002-07-01,周杰伦,周杰伦
暗号,八度空间,The Eight Dimensions,3,2002-07-01,周杰伦,许世昌
龙拳,八度空间,The Eight Dimensions,4,2002-07-01,周杰伦,方文山
火车叨位去,八度空间,The Eight Dimensions,5,2002-07-01,周杰伦,方文山
分裂,八度空间,The Eight Dimensions,6,2002-07-01,周杰伦,周杰伦
爷爷泡的茶,八度空间,The Eight Dimensions,7,2002-07-01,周杰伦,方文山
回到过去,八度空间,The Eight Dimensions,8,2002-07-01,周杰伦,刘畊宏
米兰的小铁匠,八度空间,The Eight Dimensions,9,2002-07-01,周杰伦,方文山
最后的战役,八度空间,The Eight Dimensions,10,2002-07-01,周杰伦,方文山
以父之名,叶惠美,Ye Huimei,1,2003-07-31,周杰伦,黄俊郎
懦夫,叶惠美,Ye Huimei,2,2003-07-31,周杰伦,周杰伦
晴天,叶惠美,Ye Huimei,3,2003-07-31,周杰伦,周杰伦
三年二班,叶惠美,Ye Huimei,4,2003-07-31,周杰伦,方文山
东风破,叶惠美,Ye Huimei,5,2003-07-31,周杰伦,方文山
你听得到,叶惠美,Ye Huimei,6,2003-07-31,周杰伦,曾郁婷
同一种调调,叶惠美,Ye Huimei,7,2003-07-31,周杰伦,方文山
她的睫毛,叶惠美,Ye Huimei,8,2003-07-31,周杰伦,方文山
爱情悬崖,叶惠美,Ye Huimei,9,2003-07-31,周杰伦,徐若瑄
梯田,叶惠美,Ye Huimei,10,2003-07-31,周杰伦,周杰伦
双刀,叶惠美,Ye Huimei,11,2003-07-31,周杰伦,方文山
我的地盘,七里香,Common Jasmine Orange,1,2004-08-03,周杰伦,方文山
七里香,七里香,Common Jasmine Orange,2,2004-08-03,周杰伦,方文山
借口,七里香,Common Jasmine Orange,3,2004-08-03,周杰伦,周杰伦
外婆,七里香,Common Jasmine Orange,4,2004-08-03,周杰伦,周杰伦
将军,七里香,Common Jasmine Orange,5,2004-08-03,周杰伦,黄俊郎
搁浅,七里香,Common Jasmine Orange,6,2004-08-03,周杰伦,宋健彰
乱舞春秋,七里香,Common Jasmine Orange,7,2004-08-03,周杰伦,方文山
困兽之斗,七里香,Common Jasmine Orange,8,2004-08-03,周杰伦,刘畊宏
园游会,七里香,Common Jasmine Orange,9,2004-08-03,周杰伦,方文山
止战之殇,七里香,Common Jasmine Orange,10,2004-08-03,周杰伦,方文山
夜曲,11月的萧邦,November's Chopin,1,2005-11-01,周杰伦,方文山
蓝色风暴,11月的萧邦,November's Chopin,2,2005-11-01,周杰伦,方文山
发如雪,11月的萧邦,November's Chopin,3,2005-11-01,周杰伦,方文山
黑色毛衣,11月的萧邦,November's Chopin,4,2005-11-01,周杰伦,周杰伦
四面楚歌,11月的萧邦,November's Chopin,5,2005-11-01,周杰伦,周杰伦
枫,11月的萧邦,November's Chopin,6,2005-11-01,周杰伦,宋健彰
浪漫手机,11月的萧邦,November's Chopin,7,2005-11-01,周杰伦,方文山
逆鳞,11月的萧邦,November's Chopin,8,2005-11-01,周杰伦,黄俊郎
麦芽糖,11月的萧邦,November's Chopin,9,2005-11-01,周杰伦,方文山
珊瑚海,11月的萧邦,November's Chopin,10,2005-11-01,周杰伦,方文山
飘移,11月的萧邦,November's Chopin,11,2005-11-01,周杰伦,方文山
一路向北,11月的萧邦,November's Chopin,12,2005-11-01,周杰伦,方文山
